marks,question,subject,topic,weightage,email
2,Implement a stack using a linked list and demonstrate its operations.,Computer Science,Data Structures,3,thehitman@gmail.com
2,Discuss the applications of bloom filters and their limitations.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Discuss the implementation of a graph data structure using an adjacency matrix and an adjacency list.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Implement a skip list with efficient insertion deletion and search operations.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Explain the principles of the Boyer-Moore algorithm for pattern matching with multiple patterns.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Discuss the design and working of a k-ary heap and its comparison with a binary heap.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Implement a B-tree and analyze its time complexity for search insert and delete operations.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Explain the concept of a suffix tree and its use in pattern matching and substring search.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Discuss the advantages and disadvantages of using a trie over a hash table for dictionary storage.,Computer Science,Data Structures,4,thehitman@gmail.com
4,Implement a radix sort algorithm for integers and analyze its time complexity.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Describe the working of a Cartesian tree and its applications in solving range queries.,Computer Science,Data Structures,4,thehitman@gmail.com
4,Discuss the principles of the Edmonds-Karp algorithm for maximum flow in a network.,Computer Science,Data Structures,5,thehitman@gmail.com
4,Discuss the concept of a dynamic programming approach for solving the longest common subsequence (LCS) problem.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Implement the Boyer-Moore-Galil algorithm for string matching and analyze its efficiency.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Explain the process of finding the strongly connected components (SCCs) in a directed graph.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Discuss the design and working of the Knapsack problem using the 0-1 Knapsack algorithm.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Implement the Ford-Fulkerson algorithm using the depth-first search (DFS) for finding maximum flow.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Explain the concept of the Rabin-Karp algorithm for multiple pattern string matching with rolling hash.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Discuss the working principles of a suffix array and its use in substring search and pattern matching.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Implement the Floyd-Warshall algorithm for finding all-pairs shortest paths and analyze its efficiency.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Describe the process of constructing a B+ tree and its applications in database systems.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Discuss the principles of the Minimum Spanning Tree (MST) using Prim's algorithm with binary heaps.,Computer Science,Algorithms,5,thehitman@gmail.com
4,Discuss the principles of operator overloading in Python with multiple examples.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Implement a stack-based algorithm to convert infix expressions to postfix expressions.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Explain the process of implementing a circular queue with dynamic resizing in C++,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Discuss the principles of inheritance and polymorphism in object-oriented programming.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Implement a hash table using separate chaining with efficient collision handling.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Explain the concept of virtual functions and late binding in C++.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Discuss the design and implementation of a trie-based spell checker.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Implement a function to perform matrix multiplication using the Strassen algorithm.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Describe the principles of exception propagation and handling in nested function calls.,Computer Science,Computer Programming,5,thehitman@gmail.com
4,Discuss the working of the Boyer-Moore-Horspool algorithm for substring searching.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Implement a skip graph and discuss its advantages over traditional skip lists.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Explain the concept of a Fibonacci heap and its use in the Dijkstra's algorithm for graph traversal.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Discuss the design and working of a quadtree and its applications in 2D spatial indexing.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Implement a dynamic hash table using the Cuckoo hashing technique and analyze its efficiency.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Describe the working of a suffix tree construction algorithm using Ukkonen's method.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Discuss the principles of the Karger's algorithm for finding the minimum cut in an undirected graph.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Implement a red-black tree and demonstrate its balancing properties during insertion and deletion.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Explain the concept of persistent data structures and their applications in functional programming.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Discuss the design and implementation of a van Emde Boas tree for integer data storage.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Implement a priority queue using a Fibonacci heap and analyze its time complexities.,Computer Science,Data Structures,5,thehitman@gmail.com
5,Explain the principles of the A* algorithm with an admissible heuristic for pathfinding.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Implement the Huffman coding algorithm for data compression and analyze its efficiency.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Discuss the working of the Boyer-Moore-Good-Suffix algorithm for string searching.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Implement the Dinic's algorithm for finding maximum flow in a network and analyze its efficiency.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Describe the process of constructing a suffix tree using Ukkonen's algorithm.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Discuss the principles of randomized algorithms for solving graph problems.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Implement a dynamic programming solution for the Traveling Salesman Problem (TSP).,Computer Science,Algorithms,5,thehitman@gmail.com
5,Explain the concept of parallel algorithms and their applications in computer systems.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Discuss the working principles of the Strongly Polynomial Time Algorithm for Linear Programming.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Implement the Longest Increasing Subsequence (LIS) problem using a binary search approach.,Computer Science,Algorithms,5,thehitman@gmail.com
5,Discuss the implementation of the Visitor design pattern in object-oriented programming.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Implement a function to perform matrix exponentiation using the binary exponentiation method.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Explain the concept of lambda expressions and functional interfaces in Java.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Discuss the design and implementation of a garbage collector in a programming language.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Implement a function to solve the N-Queens problem using backtracking with pruning.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Describe the principles of multi-threading and synchronization in concurrent programming.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Discuss the implementation of the Union-Find data structure using path compression and union by rank.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Implement a dynamic programming solution for the Edit Distance problem.,Computer Science,Computer Programming,5,thehitman@gmail.com
5,Explain the process of constructing a KD tree and its applications in efficient k-nearest neighbor search.,Computer Science,Computer Programming,5,thehitman@gmail.com
1,Explain the concept of multitasking in operating systems.,Computer Science,Operating Systems,2,thehitman@gmail.com
1,What is a process in the context of operating systems?,Computer Science,Operating Systems,1,thehitman@gmail.com
1,Discuss the purpose of virtual memory in modern operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
1,Define deadlock in operating systems and how it can be avoided.,Computer Science,Operating Systems,4,thehitman@gmail.com
1,What is a semaphore and how is it used for process synchronization?,Computer Science,Operating Systems,2,thehitman@gmail.com
1,Explain the difference between a monolithic kernel and a microkernel in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
1,What are the main functions of an operating system?,Computer Science,Operating Systems,1,thehitman@gmail.com
1,Discuss the role of a file system in an operating system.,Computer Science,Operating Systems,2,thehitman@gmail.com
1,What is a device driver and why is it essential in operating systems?,Computer Science,Operating Systems,3,thehitman@gmail.com
1,Explain the purpose of the process scheduler in operating systems.,Computer Science,Operating Systems,2,thehitman@gmail.com
1,What are the differences between preemptive and non-preemptive scheduling in operating systems?,Computer Science,Operating Systems,4,thehitman@gmail.com
1,Discuss the advantages and disadvantages of using a GUI in an operating system.,Computer Science,Operating Systems,3,thehitman@gmail.com
1,Explain the concept of demand paging in virtual memory management.,Computer Science,Operating Systems,5,thehitman@gmail.com
1,What is a context switch and why is it necessary in multitasking operating systems?,Computer Science,Operating Systems,4,thehitman@gmail.com
1,Discuss the role of the bootstrap loader in the booting process of an operating system.,Computer Science,Operating Systems,2,thehitman@gmail.com
1,Explain the concept of file permissions in operating systems.,Computer Science,Operating Systems,2,thehitman@gmail.com
1,What is a page fault and how is it handled in virtual memory systems?,Computer Science,Operating Systems,4,thehitman@gmail.com
1,Discuss the purpose of a disk scheduler in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
1,What is the role of the I/O manager in an operating system?,Computer Science,Operating Systems,3,thehitman@gmail.com
1,Explain the difference between internal and external fragmentation in memory management.,Computer Science,Operating Systems,4,thehitman@gmail.com
2,Explain the concept of virtualization and its benefits in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
2,Discuss the working principles of the first-fit memory allocation algorithm.,Computer Science,Operating Systems,4,thehitman@gmail.com
2,What is a race condition and how can it be avoided in concurrent programming?,Computer Science,Operating Systems,4,thehitman@gmail.com
2,Explain the concept of process synchronization using semaphores in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
2,Discuss the role of the page table in virtual memory management.,Computer Science,Operating Systems,4,thehitman@gmail.com
2,What are system calls and why are they necessary in operating systems?,Computer Science,Operating Systems,2,thehitman@gmail.com
2,Explain the purpose of the disk arm scheduling algorithm in disk management.,Computer Science,Operating Systems,5,thehitman@gmail.com
2,Discuss the differences between static and dynamic linking in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
2,What is the purpose of a spooling mechanism in operating systems?,Computer Science,Operating Systems,4,thehitman@gmail.com
2,Explain the concept of thrashing in virtual memory systems and how it can be prevented.,Computer Science,Operating Systems,5,thehitman@gmail.com
2,Discuss the benefits and drawbacks of using a priority-based scheduling algorithm in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
2,What is the working principle of the LRU (Least Recently Used) page replacement algorithm?,Computer Science,Operating Systems,4,thehitman@gmail.com
2,Explain the concept of mutual exclusion in process synchronization.,Computer Science,Operating Systems,3,thehitman@gmail.com
2,Discuss the purpose of the system clock in operating systems.,Computer Science,Operating Systems,2,thehitman@gmail.com
2,What is the role of a cache manager in an operating system?,Computer Science,Operating Systems,3,thehitman@gmail.com
2,Explain the concept of deadlock detection and recovery in operating systems.,Computer Science,Operating Systems,5,thehitman@gmail.com
2,Discuss the differences between symmetric and asymmetric multiprocessing in operating systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
2,What is the purpose of the buffer cache in operating systems?,Computer Science,Operating Systems,3,thehitman@gmail.com
2,Explain the concept of a process control block (PCB) in operating systems.,Computer Science,Operating Systems,2,thehitman@gmail.com
3,Describe the working principles of the Banker's algorithm for deadlock avoidance.,Computer Science,Operating Systems,4,thehitman@gmail.com
3,Discuss the advantages and disadvantages of using demand-paged virtual memory.,Computer Science,Operating Systems,3,thehitman@gmail.com
3,What is the purpose of a command-line interpreter (shell) in an operating system?,Computer Science,Operating Systems,2,thehitman@gmail.com
3,Explain the concept of a zombie process and how it is handled in operating systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
3,Discuss the differences between contiguous and non-contiguous memory allocation techniques.,Computer Science,Operating Systems,3,thehitman@gmail.com
3,What is the role of a page fault handler in virtual memory management?,Computer Science,Operating Systems,5,thehitman@gmail.com
3,Explain the concept of a thread in the context of multithreading in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
3,Discuss the benefits and drawbacks of using the FIFO (First-In-First-Out) page replacement algorithm.,Computer Science,Operating Systems,4,thehitman@gmail.com
3,What is the purpose of a logical address and a physical address in memory management?,Computer Science,Operating Systems,2,thehitman@gmail.com
3,Explain the concept of an interrupt handler in operating systems.,Computer Science,Operating Systems,2,thehitman@gmail.com
3,Discuss the role of the dispatcher in process scheduling.,Computer Science,Operating Systems,2,thehitman@gmail.com
3,What is the purpose of a disk cache in operating systems?,Computer Science,Operating Systems,3,thehitman@gmail.com
3,Explain the differences between static and dynamic memory allocation in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
3,Discuss the advantages and disadvantages of using a round-robin scheduling algorithm.,Computer Science,Operating Systems,4,thehitman@gmail.com
3,What is the working principle of the Optimal page replacement algorithm?,Computer Science,Operating Systems,5,thehitman@gmail.com
3,Explain the concept of a critical section in concurrent programming.,Computer Science,Operating Systems,4,thehitman@gmail.com
3,Discuss the differences between primary memory and secondary memory in an operating system.,Computer Science,Operating Systems,3,thehitman@gmail.com
3,What is the purpose of a job queue in operating systems?,Computer Science,Operating Systems,2,thehitman@gmail.com
3,Explain the concept of a distributed file system and its benefits.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Describe the working principles of the buddy memory allocation technique.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Discuss the advantages and disadvantages of using a priority inversion in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
4,What is the purpose of a dirty bit in a page table entry?,Computer Science,Operating Systems,3,thehitman@gmail.com
4,Explain the concept of process migration in distributed operating systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Discuss the differences between static and dynamic relocation in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
4,What is the working principle of the Scan disk scheduling algorithm?,Computer Science,Operating Systems,5,thehitman@gmail.com
4,Explain the concept of kernel mode and user mode in operating systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Discuss the benefits and drawbacks of using the Shortest Job Next (SJN) scheduling algorithm.,Computer Science,Operating Systems,3,thehitman@gmail.com
4,What is the purpose of the process state diagram in operating systems?,Computer Science,Operating Systems,2,thehitman@gmail.com
4,Explain the concept of cache coherence in multiprocessor systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Discuss the role of the Swapping mechanism in virtual memory management.,Computer Science,Operating Systems,5,thehitman@gmail.com
4,What is the purpose of a logical file system in an operating system?,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Explain the differences between a cooperative and preemptive multitasking model.,Computer Science,Operating Systems,3,thehitman@gmail.com
4,Discuss the working principles of the Second-Chance page replacement algorithm.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Explain the concept of process scheduling and discuss the various scheduling algorithms used in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
4,Discuss the purpose and working principles of a memory management unit (MMU) in virtual memory systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Explain the differences between internal fragmentation and external fragmentation in memory allocation.,Computer Science,Operating Systems,3,thehitman@gmail.com
4,Discuss the advantages and disadvantages of using a distributed file system in a network of computers.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,Explain the concept of thread synchronization and the mechanisms used to achieve it in multithreading.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Discuss the challenges and techniques involved in managing shared resources in a multiprocessor system.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Explain the concept of process communication and synchronization using inter-process communication (IPC) mechanisms.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Discuss the working principles and benefits of using a demand-paging virtual memory system in modern operating systems.,Computer Science,Operating Systems,5,thehitman@gmail.com
5,Explain the concept of disk scheduling and compare the performance of different disk scheduling algorithms.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Discuss the differences between symmetric and asymmetric multiprocessing and their applications in operating systems.,Computer Science,Operating Systems,3,thehitman@gmail.com
5,Explain the role of a cache manager and the strategies used for cache management in an operating system.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Discuss the challenges and approaches in handling concurrency and avoiding race conditions in concurrent programming.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Explain the concept of deadlock and the techniques used for deadlock detection and prevention in operating systems.,Computer Science,Operating Systems,5,thehitman@gmail.com
5,Discuss the working principles of the buddy memory allocation technique and compare it with other memory allocation methods.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Explain the concept of process synchronization and mutual exclusion using semaphores and monitors in operating systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Discuss the advantages and disadvantages of using virtual memory and its impact on system performance and memory management.,Computer Science,Operating Systems,5,thehitman@gmail.com
5,Explain the concept of thread management and the advantages of using threads in the context of multithreading in operating systems.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Discuss the role of the kernel in an operating system and the different modes (kernel mode and user mode) of operation.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Explain the purpose and working of the page replacement algorithms including: FIFO LRU and Optimal.,Computer Science,Operating Systems,5,thehitman@gmail.com
5,Discuss the principles and advantages of using a priority-based scheduling algorithm in a multitasking operating system.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Explain the concept of deadlock avoidance and the Banker's algorithm for handling resource allocation in an operating system.,Computer Science,Operating Systems,5,thehitman@gmail.com
5,Discuss the role of the memory management unit (MMU) in virtual memory systems and the process of address translation.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Explain the working principles of the round-robin scheduling algorithm and its role in process scheduling.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Discuss the purpose and implementation of the spooling mechanism in an operating system for managing I/O tasks.,Computer Science,Operating Systems,4,thehitman@gmail.com
5,Explain the concept of thread safety and the techniques used to ensure thread safety in multithreaded programming.,Computer Science,Operating Systems,4,thehitman@gmail.com
1,What is a database?,Computer Science,Databases,2,thehitman@gmail.com
1,Define a primary key.,Computer Science,Databases,1,thehitman@gmail.com
1,What is normalization in databases?,Computer Science,Databases,3,thehitman@gmail.com
1,Explain the concept of a foreign key.,Computer Science,Databases,2,thehitman@gmail.com
1,What is a relational database?,Computer Science,Databases,1,thehitman@gmail.com
1,What is a table in a database?,Computer Science,Databases,1,thehitman@gmail.com
1,"Define the term ACID"""" in the context of databases.""""",Computer Science,Databases,4,thehitman@gmail.com
1,What is a database management system (DBMS)?,Computer Science,Databases,1,thehitman@gmail.com
1,What is the purpose of an index in a database?,Computer Science,Databases,2,thehitman@gmail.com
1,Explain the concept of data redundancy.,Computer Science,Databases,3,thehitman@gmail.com
1,What are database transactions?,Computer Science,Databases,1,thehitman@gmail.com
1,"Define the term data integrity.""""""""",Computer Science,Databases,2,thehitman@gmail.com
1,What is a schema in a database?,Computer Science,Databases,1,thehitman@gmail.com
1,Explain the difference between SQL and NoSQL databases.,Computer Science,Databases,3,thehitman@gmail.com
1,What is the role of a DBA (Database Administrator)?,Computer Science,Databases,2,thehitman@gmail.com
1,What is data modeling in databases?,Computer Science,Databases,1,thehitman@gmail.com
1,"Define the term data warehouse.""""""""",Computer Science,Databases,3,thehitman@gmail.com
1,What is a composite key?,Computer Science,Databases,2,thehitman@gmail.com
1,Explain the concept of data normalization.,Computer Science,Databases,3,thehitman@gmail.com
1,What is the purpose of a view in a database?,Computer Science,Databases,2,thehitman@gmail.com
2,Discuss the advantages and disadvantages of using a relational database.,Computer Science,Databases,3,thehitman@gmail.com
2,Explain the differences between a clustered and a non-clustered index.,Computer Science,Databases,4,thehitman@gmail.com
2,What is the role of a trigger in a database?,Computer Science,Databases,3,thehitman@gmail.com
2,Discuss the purpose and working of the SELECT statement in SQL.,Computer Science,Databases,3,thehitman@gmail.com
2,Explain the concept of data denormalization and its use in databases.,Computer Science,Databases,4,thehitman@gmail.com
2,What are the different types of database constraints and how are they used?,Computer Science,Databases,2,thehitman@gmail.com
2,Discuss the benefits and drawbacks of using a distributed database system.,Computer Science,Databases,4,thehitman@gmail.com
2,Explain the differences between logical and physical data independence.,Computer Science,Databases,3,thehitman@gmail.com
2,What is the purpose of a JOIN operation in SQL?,Computer Science,Databases,3,thehitman@gmail.com
2,Discuss the working principles of the COMMIT and ROLLBACK commands in database transactions.,Computer Science,Databases,3,thehitman@gmail.com
2,Explain the concept of referential integrity in database design.,Computer Science,Databases,4,thehitman@gmail.com
2,Discuss the advantages of using an ORM (Object-Relational Mapping) tool in database applications.,Computer Science,Databases,3,thehitman@gmail.com
2,What is the purpose of the GROUP BY clause in SQL?,Computer Science,Databases,2,thehitman@gmail.com
2,Explain the concept of data aggregation in databases.,Computer Science,Databases,3,thehitman@gmail.com
2,Discuss the differences between a one-to-many and a many-to-many relationship in database design.,Computer Science,Databases,4,thehitman@gmail.com
2,What is the role of a stored procedure in a database?,Computer Science,Databases,3,thehitman@gmail.com
2,Explain the purpose of the DDL (Data Definition Language) in database management.,Computer Science,Databases,2,thehitman@gmail.com
2,Discuss the benefits of using database normalization techniques.,Computer Science,Databases,3,thehitman@gmail.com
2,What is the purpose of the WHERE clause in SQL?,Computer Science,Databases,2,thehitman@gmail.com
2,Explain the concept of a candidate key in database design.,Computer Science,Databases,3,thehitman@gmail.com
3,Discuss the principles and benefits of using the Entity-Relationship (ER) model for database design.,Computer Science,Databases,4,thehitman@gmail.com
3,Explain the concept of a transaction log and its importance in database recovery.,Computer Science,Databases,4,thehitman@gmail.com
3,Discuss the differences between a primary key candidate key and superkey in database design.,Computer Science,Databases,4,thehitman@gmail.com
3,Explain the purpose and working of the UPDATE statement in SQL.,Computer Science,Databases,3,thehitman@gmail.com
3,Discuss the benefits and drawbacks of using denormalization techniques in databases.,Computer Science,Databases,4,thehitman@gmail.com
3,What are the various types of JOIN operations in SQL and how are they used?,Computer Science,Databases,3,thehitman@gmail.com
3,Explain the concept of data partitioning in distributed database systems.,Computer Science,Databases,4,thehitman@gmail.com
3,Discuss the working principles of the INSERT statement in SQL.,Computer Science,Databases,3,thehitman@gmail.com
3,What is the role of database indexes in query optimization?,Computer Science,Databases,4,thehitman@gmail.com
3,Explain the concept of data concurrency control in database transactions.,Computer Science,Databases,4,thehitman@gmail.com
3,Discuss the differences between a logical schema and a physical schema in database design.,Computer Science,Databases,3,thehitman@gmail.com
3,Explain the purpose and use of triggers in database applications.,Computer Science,Databases,3,thehitman@gmail.com
3,Discuss the benefits of using views in a database management system.,Computer Science,Databases,3,thehitman@gmail.com
3,What is the purpose of the HAVING clause in SQL?,Computer Science,Databases,2,thehitman@gmail.com
3,Explain the concept of data warehousing and its benefits for business intelligence.,Computer Science,Databases,3,thehitman@gmail.com
3,Discuss the differences between a surrogate key and a natural key in database design.,Computer Science,Databases,3,thehitman@gmail.com
4,Discuss the principles and challenges of database replication for high availability.,Computer Science,Databases,4,thehitman@gmail.com
4,Explain the concept of data sharding and its use in distributed databases.,Computer Science,Databases,4,thehitman@gmail.com
4,Discuss the benefits and drawbacks of using the NoSQL database model.,Computer Science,Databases,3,thehitman@gmail.com
4,Explain the purpose and use of stored procedures and functions in a database.,Computer Science,Databases,4,thehitman@gmail.com
4,Discuss the differences between a clustered and a non-clustered index in database management.,Computer Science,Databases,3,thehitman@gmail.com
4,Explain the concept of data encryption and its importance in database security.,Computer Science,Databases,4,thehitman@gmail.com
4,Discuss the benefits and challenges of using database triggers for data validation.,Computer Science,Databases,3,thehitman@gmail.com
4,Explain the purpose and working of the UNION and UNION ALL operators in SQL.,Computer Science,Databases,3,thehitman@gmail.com
4,Discuss the differences between vertical and horizontal partitioning in database design.,Computer Science,Databases,4,thehitman@gmail.com
4,Explain the concept of data archiving and its importance in database maintenance.,Computer Science,Databases,3,thehitman@gmail.com
4,Discuss the benefits and drawbacks of using the EAV (Entity-Attribute-Value) model in databases.,Computer Science,Databases,4,thehitman@gmail.com
4,Explain the purpose and use of the CASE statement in SQL queries.,Computer Science,Databases,3,thehitman@gmail.com
4,Discuss the differences between an OLTP (Online Transaction Processing) and an OLAP (Online Analytical Processing) database.,Computer Science,Databases,4,thehitman@gmail.com
4,Explain the concept of a materialized view and its use for query optimization.,Computer Science,Databases,3,thehitman@gmail.com
4,Discuss the benefits and challenges of using a distributed database architecture.,Computer Science,Databases,4,thehitman@gmail.com
4,Explain the purpose and working of the DELETE statement in SQL.,Computer Science,Databases,3,thehitman@gmail.com
4,Discuss the differences between a 1NF (First Normal Form) and a 2NF (Second Normal Form) database schema.,Computer Science,Databases,3,thehitman@gmail.com
4,Explain the concept of a database transaction and the properties of ACID.,Computer Science,Databases,4,thehitman@gmail.com
4,Discuss the benefits and drawbacks of using database views for data security and access control.,Computer Science,Databases,3,thehitman@gmail.com
4,Explain the concept of data replication and the different replication method such as master-slave and multi-master replication.,Computer Science,Databases,4,thehitman@gmail.com
5,Discuss the principles and benefits of using a relational database management system (RDBMS).,Computer Science,Databases,5,thehitman@gmail.com
5,Explain the concept of database normalization and its role in eliminating data redundancy and improving data integrity.,Computer Science,Databases,4,thehitman@gmail.com
5,Discuss the challenges and techniques involved in ensuring data consistency and integrity in a distributed database system.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the purpose and working of the JOIN operation in SQL including INNER JOIN LEFT JOIN RIGHT JOIN and FULL JOIN.,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the differences between a row-based and a column-based database storage model and their respective advantages.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the concept of a database transaction and the importance of transaction management for data consistency and recovery.,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the principles and benefits of using database indexing for query performance optimization.,Computer Science,Databases,5,thehitman@gmail.com
5,Explain the purpose and use of database constraints including PRIMARY KEY FOREIGN KEY UNIQUE and CHECK constraints.,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the challenges and techniques involved in database replication for achieving high availability and fault tolerance.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the concept of data warehousing and its use for business intelligence and data analytics.,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the principles and challenges of database sharding for scalability and performance in distributed database systems.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the purpose and use of stored procedures and functions in a database management system (DBMS).,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the differences between a star schema and a snowflake schema in data warehousing design.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the concept of data partitioning and its use for improving data distribution and query performance in distributed databases.,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the benefits and drawbacks of using the CAP theorem for distributed database design.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the purpose and working of the SQL JOIN operation including examples of multi-table joins and self-joins.,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the differences between database backups and database snapshots and their respective use cases for data recovery.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the concept of database replication and the different replication methods such as master-slave and multi-master replication.,Computer Science,Databases,5,thehitman@gmail.com
5,Discuss the principles and challenges of database sharding for achieving horizontal scalability in distributed databases.,Computer Science,Databases,4,thehitman@gmail.com
5,Explain the purpose and use of data caching in a database management system (DBMS) for improving query performance.,Computer Science,Databases,5,thehitman@gmail.com
1,What is the CPU (Central Processing Unit)?,Computer Science,Computer Architecture,2,thehitman@gmail.com
1,Define a cache memory.,Computer Science,Computer Architecture,1,thehitman@gmail.com
1,What is the role of the ALU (Arithmetic Logic Unit)?,Computer Science,Computer Architecture,2,thehitman@gmail.com
1,Explain the concept of a register in a CPU.,Computer Science,Computer Architecture,1,thehitman@gmail.com
1,What is the purpose of the control unit in a processor?,Computer Science,Computer Architecture,2,thehitman@gmail.com
1,"Define the term instruction set architecture.""""""""",Computer Science,Computer Architecture,3,thehitman@gmail.com
1,What is the function of the program counter (PC)?,Computer Science,Computer Architecture,2,thehitman@gmail.com
1,Explain the concept of pipelining in computer architecture.,Computer Science,Computer Architecture,3,thehitman@gmail.com
1,What is the role of a clock signal in a CPU?,Computer Science,Computer Architecture,1,thehitman@gmail.com
1,"Define the term Von Neumann architecture.""""""""",Computer Science,Computer Architecture,2,thehitman@gmail.com
1,What is the purpose of the MAR (Memory Address Register)?,Computer Science,Computer Architecture,1,thehitman@gmail.com
1,Explain the concept of parallel processing.,Computer Science,Computer Architecture,3,thehitman@gmail.com
1,What is the function of the data bus in a computer system?,Computer Science,Computer Architecture,1,thehitman@gmail.com
